year,geo_name,geo,high_school_graduation
2015,"Owsley County","05000US21189",0.947
2016,"Howell County","05000US29091",0.947
2017,"Darke County","05000US39037",0.947
2015,"Seneca County","05000US39147",0.947
2017,"Calumet County","05000US55015",0.947
2016,"Pottawatomie County","05000US20149",0.947
2016,"Defiance County","05000US39039",0.947
2015,"Union County","05000US42119",0.947
2015,"Alfalfa County","05000US40003",0.947
2016,"Paulding County","05000US39125",0.947
2016,"Bucks County, PA","05000US42017",0.947
2015,"Morris County","05000US48343",0.947
2015,"Putnam County","05000US39137",0.947
2017,"Guadalupe County, TX","05000US48187",0.947
2016,"Adams County","05000US18001",0.947
2017,"Osage County","05000US29151",0.947
2017,"Coleman County","05000US48083",0.947
2016,"Crawford County","05000US55023",0.947
2017,"Madison County","05000US48313",0.947
2017,"Terry County","05000US48445",0.947
2017,"Fairfield County, OH","05000US39045",0.946
2017,"Gray County","05000US48179",0.946
2017,"Susquehanna County","05000US42115",0.946
2016,"Colorado County","05000US48089",0.946
2016,"Clark County","05000US17023",0.946
2017,"Randolph County","05000US01111",0.946
2016,"Clearwater County","05000US16035",0.946
2017,"Stephens County","05000US48429",0.946
2016,"Washington County","05000US48477",0.946
2016,"Kingfisher County","05000US40073",0.946
2017,"Hardin County","05000US19083",0.946
2017,"Grayson County, TX","05000US48181",0.946
2015,"Clearwater County","05000US16035",0.946
2016,"Jackson County","05000US48239",0.946
2016,"Auglaize County","05000US39011",0.946
2017,"Crane County","05000US48103",0.946
2016,"Williamson County, TX","05000US48491",0.946
2016,"Williams County","05000US39171",0.946
2015,"Noble County","05000US39121",0.946
2016,"Castro County","05000US48069",0.946
2016,"Ozaukee County","05000US55089",0.946
2016,"Wood County, OH","05000US39173",0.946
2016,"La Crosse County, WI","05000US55063",0.945
2016,"Calloway County","05000US21035",0.945
2016,"Cooper County","05000US29053",0.945
2017,"Jefferson County","05000US55055",0.945
2017,"Fayette County","05000US19065",0.945
2017,"Jefferson County","05000US20087",0.945
2016,"Rockwall County","05000US48397",0.945
2016,"Nemaha County","05000US20131",0.945
2015,"Parmer County","05000US48369",0.945
2017,"Polk County","05000US48373",0.945
2017,"Bergen County, NJ","05000US34003",0.945
2015,"Colorado County","05000US48089",0.945
2017,"Fannin County","05000US48147",0.944
2017,"Cochran County","05000US48079",0.944
2016,"Polk County","05000US05113",0.944
2017,"Indiana County","05000US42063",0.944
2015,"Bowie County","05000US48037",0.944
2017,"Taney County","05000US29213",0.944
2015,"El Dorado County, CA","05000US06017",0.944
2015,"Rockwall County","05000US48397",0.944
2017,"Schleicher County","05000US48413",0.944
2015,"Shelby County","05000US48419",0.944
2017,"Grant County","05000US46051",0.944
2017,"Camden County","05000US29029",0.944
2017,"Juab County","05000US49023",0.944
2017,"Wood County, OH","05000US39173",0.944
2016,"Siskiyou County","05000US06093",0.943
2015,"Franklin County","05000US16041",0.943
2017,"Bell County","05000US21013",0.943
2016,"Miami County","05000US18103",0.943
2016,"Piatt County","05000US17147",0.943
2017,"Anderson County","05000US47001",0.943
2015,"Howard County","05000US48227",0.943
2017,"Geneva County","05000US01061",0.943
2017,"Buffalo County","05000US55011",0.943
2017,"New Madrid County","05000US29143",0.943
2015,"Wilson County","05000US48493",0.943
2016,"Grant County","05000US55043",0.943
2016,"Taney County","05000US29213",0.943
2016,"Christian County","05000US29043",0.943
2016,"Franklin County","05000US16041",0.943
2016,"Lavaca County","05000US48285",0.943
2017,"Donley County","05000US48129",0.943
2017,"Wayne County","05000US42127",0.943
2017,"Seneca County","05000US39147",0.943
2017,"Pottawatomie County","05000US20149",0.943
2015,"Polk County","05000US05113",0.943
2015,"Wichita County, TX","05000US48485",0.943
2015,"Wayne County, OH","05000US39169",0.943
2017,"Grafton County","05000US33009",0.943
2016,"Darke County","05000US39037",0.943
2015,"Callahan County","05000US48059",0.942
2015,"Atchison County","05000US20005",0.942
2016,"Fayette County","05000US48149",0.942
2017,"Geauga County","05000US39055",0.942
2016,"Van Zandt County","05000US48467",0.942
2016,"Middlesex County, CT","05000US09007",0.942
2016,"Clark County","05000US55019",0.942
2017,"Waller County","05000US48473",0.942
2015,"Clayton County","05000US19043",0.942
2015,"Clark County","05000US55019",0.942
2015,"Fleming County","05000US21069",0.942
2015,"Kaufman County, TX","05000US48257",0.942
2016,"Bowie County","05000US48037",0.942
2016,"Monroe County","05000US55081",0.942
2015,"Cooke County","05000US48097",0.942
2016,"Hill County","05000US48217",0.942
2015,"Fentress County","05000US47049",0.941
2016,"Thomas County","05000US20193",0.941
2017,"Atascosa County","05000US48013",0.941
2017,"Waukesha County, WI","05000US55133",0.941
2015,"Williamson County, TX","05000US48491",0.941
2016,"Caldwell County","05000US48055",0.941
2015,"Hardin County","05000US39065",0.941
2016,"Brown County","05000US48049",0.941
2017,"Wells County","05000US18179",0.941
2016,"Story County","05000US19169",0.941
2017,"Howell County","05000US29091",0.941
2015,"Sarpy County, NE","05000US31153",0.941
2015,"Hamilton County","05000US31081",0.941
2015,"Meade County","05000US21163",0.941
