year,geo_name,geo,grads_total
2015,"Mercer County, NJ","05000US34021",10645
2013,"Pinellas County, FL","05000US12103",10606
2014,"Pierce County, WA","05000US53053",10603
2013,"Pierce County, WA","05000US53053",10597
2014,"Hidalgo County, TX","05000US48215",10586
2014,"Douglas County, NE","05000US31055",10545
2015,"Jefferson County, AL","05000US01073",10542
2015,"Pinellas County, FL","05000US12103",10542
2013,"Hampshire County, MA","05000US25015",10526
2014,"Tippecanoe County, IN","05000US18157",10513
2015,"Douglas County, NE","05000US31055",10496
2014,"Fairfield County, CT","05000US09001",10492
2014,"Westchester County, NY","05000US36119",10447
2013,"Guaynabo Municipio","05000US72061",10438
2015,"Fairfield County, CT","05000US09001",10437
2013,"Greene County, MO","05000US29077",10412
2015,"Westchester County, NY","05000US36119",10408
2015,"Yolo County, CA","05000US06113",10404
2014,"Jefferson County, AL","05000US01073",10327
2013,"Lubbock County, TX","05000US48303",10312
2013,"Westchester County, NY","05000US36119",10278
2015,"Genesee County, MI","05000US26049",10236
2013,"Tippecanoe County, IN","05000US18157",10234
2015,"Cobb County, GA","05000US13067",10231
2015,"Arapahoe County, CO","05000US08005",10177
2013,"Fairfield County, CT","05000US09001",10176
2014,"Lubbock County, TX","05000US48303",10139
2015,"Athens County","05000US39009",10083
2013,"Montgomery County, OH","05000US39113",10070
2014,"Montgomery County, OH","05000US39113",10043
2013,"Cobb County, GA","05000US13067",9924
2013,"Spokane County, WA","05000US53063",9924
2014,"Cobb County, GA","05000US13067",9920
2013,"Jefferson County","05000US54037",9913
2014,"Athens County","05000US39009",9912
2015,"Charleston County, SC","05000US45019",9889
2015,"Spokane County, WA","05000US53063",9889
2014,"Hampden County, MA","05000US25013",9880
2015,"Chatham County, GA","05000US13051",9870
2015,"Collin County, TX","05000US48085",9863
2014,"Yolo County, CA","05000US06113",9818
2013,"Charleston County, SC","05000US45019",9801
2014,"Spokane County, WA","05000US53063",9793
2014,"Tompkins County, NY","05000US36109",9785
2013,"Tompkins County, NY","05000US36109",9782
2014,"Tulsa County, OK","05000US40143",9768
2013,"Tulsa County, OK","05000US40143",9765
2013,"Athens County","05000US39009",9747
2013,"Hidalgo County, TX","05000US48215",9743
2015,"Tompkins County, NY","05000US36109",9686
2014,"Charleston County, SC","05000US45019",9579
2015,"Montgomery County, OH","05000US39113",9545
2015,"Hampden County, MA","05000US25013",9417
2015,"Richmond city, VA","05000US51760",9407
2014,"Richmond city, VA","05000US51760",9361
2015,"Orange County, NC","05000US37135",9352
2013,"Richmond city, VA","05000US51760",9269
2013,"Orange County, NC","05000US37135",9265
