year,geo_name,geo,grads_total_growth
2015,"Poweshiek County","05000US19157",0.159091
2015,"Holmes County","05000US28051",0.157194
2014,"Cass County","05000US26027",0.156934
2015,"Paulding County, GA","05000US13223",0.156863
2014,"Whitley County","05000US21235",0.156544
2014,"Pearl River County","05000US28109",0.15566
2014,"Lewis County","05000US29111",0.155556
2015,"Ware County","05000US13299",0.155363
2014,"Garland County","05000US05051",0.154742
2014,"Baxter County","05000US05005",0.154455
2015,"Fayette County","05000US54019",0.153846
2014,"Howard County","05000US19089",0.153846
2015,"Graham County","05000US04009",0.153612
2014,"Huntingdon County","05000US42061",0.153247
2015,"Stone County","05000US28131",0.152903
2015,"Pettis County","05000US29159",0.152681
2015,"Jersey County","05000US17083",0.152542
2015,"Tipton County","05000US47167",0.151832
2015,"Sampson County","05000US37163",0.151703
2015,"Atchison County","05000US20005",0.151659
2014,"Martin County, FL","05000US12085",0.151515
2015,"Emanuel County","05000US13107",0.150943
2014,"Gibson County","05000US18051",0.150685
2015,"Smith County, TX","05000US48423",0.150607
2015,"Clark County, OH","05000US39023",0.150538
2015,"Sebastian County, AR","05000US05131",0.150293
2014,"Trujillo Alto Municipio","05000US72139",0.15
2015,"Livingston County","05000US29117",0.15
2015,"Sanpete County","05000US49039",0.148993
2015,"Nash County","05000US37127",0.148914
2015,"Santa Rosa County, FL","05000US12113",0.14876
2014,"Ford County","05000US20057",0.148438
2014,"Lynchburg city","05000US51680",0.148344
2015,"Tallapoosa County","05000US01123",0.148014
2015,"Buena Vista city","05000US51530",0.147826
2014,"Juneau City and Borough","05000US02110",0.1472
2015,"Phelps County","05000US29161",0.14716
2015,"Chouteau County","05000US30015",0.147059
2015,"Jefferson Parish, LA","05000US22051",0.146934
2014,"Wabash County","05000US18169",0.146853
2014,"Crawford County","05000US17033",0.146789
2014,"Davison County","05000US46035",0.145663
2015,"Collin County, TX","05000US48085",0.145262
2015,"Sullivan County","05000US36105",0.145098
2015,"Pope County","05000US05115",0.144787
2015,"Howard County","05000US29089",0.144766
2015,"Wayne County, NC","05000US37191",0.144457
2014,"Middlesex County, NJ","05000US34023",0.14427
2014,"Taney County","05000US29213",0.144201
2015,"Marion County","05000US20115",0.143617
2014,"Halifax County","05000US37083",0.143258
2015,"Delaware County","05000US36025",0.143204
2015,"Butler County","05000US29023",0.143147
2014,"McNairy County","05000US47109",0.142857
2015,"Wasatch County","05000US49051",0.142857
2014,"Dinwiddie County","05000US51053",0.142857
2015,"Island County","05000US53029",0.142857
2015,"Nobles County","05000US27105",0.142857
2015,"Franklin County","05000US51067",0.142202
2015,"Seward County","05000US20175",0.141892
2015,"Pittsburg County","05000US40121",0.141104
2015,"Northumberland County","05000US42097",0.140351
2014,"Medina County, OH","05000US39103",0.140221
2014,"Washington County","05000US23029",0.140097
2014,"Cabell County","05000US54011",0.140053
2015,"Washington County","05000US23029",0.139831
2014,"Grand Forks County","05000US38035",0.139726
2014,"Beaverhead County","05000US30001",0.139535
2015,"Adams County, CO","05000US08001",0.139494
2015,"DuPage County, IL","05000US17043",0.13873
2015,"Cherokee County","05000US48073",0.1375
2014,"Benton County","05000US41003",0.137206
2014,"McCracken County","05000US21145",0.135929
2014,"Harnett County, NC","05000US37085",0.135616
2015,"Le Flore County","05000US40079",0.135053
2014,"Santa Fe County, NM","05000US35049",0.134928
2015,"Benton County, AR","05000US05007",0.134892
2014,"Newton County","05000US29145",0.13489
2014,"Cecil County, MD","05000US24015",0.134557
2014,"Valencia County","05000US35061",0.134328
2014,"Rapides Parish, LA","05000US22079",0.134139
2014,"Somerset County","05000US24039",0.133835
2015,"Mahoning County, OH","05000US39099",0.133817
2015,"Jackson County","05000US05067",0.132855
2015,"Escambia County","05000US01053",0.13242
2015,"Kennebec County, ME","05000US23011",0.132145
2015,"Siskiyou County","05000US06093",0.131687
2014,"Pasquotank County","05000US37139",0.131665
2014,"Saline County","05000US17165",0.131653
2014,"Flagler County","05000US12035",0.131579
2014,"Guilford County, NC","05000US37081",0.131489
2014,"Fairbanks North Star Borough, AK","05000US02090",0.131445
2014,"Defiance County","05000US39039",0.130653
2014,"Bradford County","05000US12007",0.130435
2014,"Jefferson County, TX","05000US48245",0.130407
2015,"Chippewa County","05000US26033",0.130374
2014,"Franklin County","05000US23007",0.129841
2015,"Middlesex County, CT","05000US09007",0.129712
2014,"Laurens County","05000US45059",0.128814
2015,"Seminole County","05000US40133",0.128814
2015,"Grant County","05000US35017",0.128748
2015,"Brevard County, FL","05000US12009",0.12874
2015,"Kern County, CA","05000US06029",0.128149
2014,"Chaves County","05000US35005",0.12809
2015,"Fairfield County, OH","05000US39045",0.128049
2014,"Olmsted County, MN","05000US27109",0.127768
2014,"Sherman County","05000US20181",0.127572
2014,"Mayes County","05000US40097",0.126844
2015,"Sumner County, TN","05000US47165",0.126748
2015,"Cecil County, MD","05000US24015",0.126685
2014,"Hardin County","05000US47071",0.126667
2014,"Stutsman County","05000US38093",0.125714
2014,"Custer County","05000US40039",0.125385
2015,"Henderson County","05000US47077",0.125
2015,"Tillamook County","05000US41057",0.125
2014,"Licking County, OH","05000US39089",0.123944
2014,"Carteret County","05000US37031",0.123786
2015,"Lafayette County","05000US29107",0.123188
2015,"Stark County, OH","05000US39151",0.12299
2015,"Cowlitz County, WA","05000US53015",0.12249
2015,"Garland County","05000US05051",0.122478
2015,"Sandusky County","05000US39143",0.122449
2014,"Clay County, FL","05000US12019",0.122324
2014,"Genesee County, MI","05000US26049",0.122286
2014,"Tooele County","05000US49045",0.122137
2015,"Alamance County, NC","05000US37001",0.12161
2014,"Washington County","05000US40147",0.121597
2015,"Garfield County","05000US08045",0.121457
2015,"Jefferson County","05000US39081",0.121417
2015,"Quay County","05000US35037",0.121359
2015,"Richmond County, GA","05000US13245",0.121321
2014,"Dickson County","05000US47043",0.121118
2015,"Bulloch County","05000US13031",0.120015
2015,"Kerr County","05000US48265",0.119522
2015,"Yuma County, AZ","05000US04027",0.119353
2014,"Litchfield County, CT","05000US09005",0.118812
2014,"Hardin County","05000US48199",0.118644
2014,"Parker County, TX","05000US48367",0.118214
2015,"Lassen County","05000US06035",0.117845
2015,"Fremont County","05000US56013",0.117241
2014,"Morris County, NJ","05000US34027",0.116891
2015,"Porter County, IN","05000US18127",0.1168
2015,"Bottineau County","05000US38009",0.116788
2015,"Grant County","05000US53025",0.115966
2015,"McDowell County","05000US37111",0.115942
2014,"Randolph County","05000US01111",0.115836
2014,"Florence County, SC","05000US45041",0.115809
2015,"Onslow County, NC","05000US37133",0.115783
2014,"Gallatin County","05000US30031",0.115762
2015,"St. Francois County","05000US29187",0.115714
2015,"Mesa County, CO","05000US08077",0.115707
2014,"Jefferson County, NY","05000US36045",0.115497
2014,"Dade County","05000US13083",0.115226
2014,"Portage County","05000US55097",0.115098
2015,"Pike County","05000US28113",0.114719
2015,"Muskogee County","05000US40101",0.114637
2015,"Rhea County","05000US47143",0.114362
2015,"Rutherford County","05000US37161",0.114108
2014,"Randall County, TX","05000US48381",0.114005
